name,type,id,uri,part_of_name,part_of_type,part_of_id
Anatolia,region,482813,https://ismi.mpiwg-berlin.mpg.de/place/482813,Turkey,country,174510
Andalusia,country,93261,https://ismi.mpiwg-berlin.mpg.de/place/93261,null,null,null
Ankara,city,87724,https://ismi.mpiwg-berlin.mpg.de/place/87724,Turkey,country,174510
Ankara (Enguriye),city,85621,https://ismi.mpiwg-berlin.mpg.de/place/85621,null,null,null
"Ann Arbor, MI",city,44343,https://ismi.mpiwg-berlin.mpg.de/place/44343,USA,country,173554
Antakya,city,462175,https://ismi.mpiwg-berlin.mpg.de/place/462175,Turkey,country,174510
Antalya,city,411067,https://ismi.mpiwg-berlin.mpg.de/place/411067,Turkey,country,174510
Ardabil,city,480382,https://ismi.mpiwg-berlin.mpg.de/place/480382,Azerbaijan,country,178920
Armenia,country,173852,https://ismi.mpiwg-berlin.mpg.de/place/173852,null,null,null
Arrajān,city,325114,https://ismi.mpiwg-berlin.mpg.de/place/325114,null,null,null
Ashqabad,city,87019,https://ismi.mpiwg-berlin.mpg.de/place/87019,Turkmenistan,country,178885
Astija,city,354268,https://ismi.mpiwg-berlin.mpg.de/place/354268,Spain,country,174730
Aswan,null,434061,https://ismi.mpiwg-berlin.mpg.de/place/434061,Egypt,country,173189
Asyūt,city,486754,https://ismi.mpiwg-berlin.mpg.de/place/486754,Egypt,country,173189
Austria,country,173483,https://ismi.mpiwg-berlin.mpg.de/place/173483,null,null,null
Azerbaijan,country,178920,https://ismi.mpiwg-berlin.mpg.de/place/178920,null,null,null
Azhar,madrasa,2066,https://ismi.mpiwg-berlin.mpg.de/place/2066,Cairo,city,85226
Baalbek,city,87149,https://ismi.mpiwg-berlin.mpg.de/place/87149,null,null,null
Badajoz,null,394897,https://ismi.mpiwg-berlin.mpg.de/place/394897,Spain,country,174730
Baeza,null,438196,https://ismi.mpiwg-berlin.mpg.de/place/438196,Spain,country,174730
Baghdad,city,167760,https://ismi.mpiwg-berlin.mpg.de/place/167760,Iraq,country,173298
Bahrain,null,437004,https://ismi.mpiwg-berlin.mpg.de/place/437004,null,null,null
Bakchesaray,city,87420,https://ismi.mpiwg-berlin.mpg.de/place/87420,Ukraine,country,173857
Baku,city,87016,https://ismi.mpiwg-berlin.mpg.de/place/87016,Azerbaijan,country,178920
Balad (Iraq),city_district,434389,https://ismi.mpiwg-berlin.mpg.de/place/434389,Iraq,country,173298
Balıkesir,city,86680,https://ismi.mpiwg-berlin.mpg.de/place/86680,Turkey,country,174510
Balkh,city,153791,https://ismi.mpiwg-berlin.mpg.de/place/153791,Afghanistan,country,179798
Bangladesh,country,179186,https://ismi.mpiwg-berlin.mpg.de/place/179186,null,null,null
